Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13
2.0,2.08,2.78,2.61,2.65,3.99,0.79,3.31,2.3,5.59,4.4,5.34,5.59
2.22,2.22,3.4,2.99,2.92,4.3,0.82,3.94,2.36,6.1,4.45,5.78,5.81
2.22,2.26,3.4,3.06,2.96,4.32,0.84,3.88,2.34,5.89,4.35,5.63,5.66
2.24,2.3,3.46,3.15,3.04,4.43,0.85,4.01,2.41,6.22,4.5,5.89,5.93
2.21,2.26,3.4,3.05,2.96,4.4,0.84,3.92,2.36,6.05,4.4,5.74,5.78
2.25,2.28,3.4,3.04,2.97,4.38,0.85,3.92,2.36,6.05,4.45,5.78,5.81
2.17,2.24,3.31,2.96,2.91,4.28,0.85,3.84,2.34,5.85,4.28,5.51,5.66
2.2,2.25,3.33,3.03,2.97,4.3,0.84,3.88,2.36,5.89,4.35,5.59,5.66
2.24,2.26,3.38,3.06,2.97,4.43,0.85,3.94,2.36,6.1,4.5,5.81,5.85
2.2,2.24,3.38,3.06,2.95,4.38,0.85,3.94,2.38,6.05,4.43,5.74,5.81
2.17,2.21,3.33,2.99,2.92,4.28,0.86,3.86,2.35,5.89,4.38,5.63,5.66
2.15,2.24,3.36,3.06,2.9,4.3,0.84,3.88,2.36,5.93,4.4,5.66,5.74
2.15,2.22,3.35,3.05,2.97,4.35,0.86,3.88,2.35,5.93,4.32,5.55,5.63
2.17,2.21,3.35,2.99,2.94,4.28,0.85,3.9,2.34,5.89,4.32,5.59,5.66
2.22,2.25,3.41,2.96,2.97,4.32,0.85,3.94,2.36,6.01,4.4,5.74,5.74
2.25,2.28,3.42,3.05,3.01,4.45,0.86,3.99,2.38,6.14,4.47,5.81,5.85
2.2,2.26,3.38,3.03,2.96,4.35,0.85,3.88,2.38,6.01,4.38,5.69,5.78
2.22,2.25,3.4,3.04,2.97,4.38,0.86,3.94,2.38,6.05,4.45,5.78,5.81
2.19,2.25,3.33,3.01,2.97,4.32,0.84,3.88,2.36,5.89,4.32,5.59,5.63
